iter	MultiClass
0	1.325738587
1	1.269619283
2	1.221430747
3	1.179608118
4	1.139450983
5	1.105006378
6	1.072627552
7	1.044966302
8	1.017348387
9	0.9928466071
10	0.9686845037
11	0.9461091262
12	0.9238682889
13	0.9040211607
14	0.8820864874
15	0.862842439
16	0.8450550063
17	0.8298198127
18	0.8124196319
19	0.7968980554
20	0.7832004446
21	0.7710397412
22	0.7590805456
23	0.7478125987
24	0.7335509004
25	0.7223204787
26	0.7102213541
27	0.6960392662
28	0.6845820761
29	0.6736797821
30	0.6651376461
31	0.6555746015
32	0.6453689187
33	0.6366794528
34	0.6296779364
35	0.6228345563
36	0.6144736334
37	0.6075498684
38	0.5990277763
39	0.5915564142
40	0.5852358139
41	0.5784754955
42	0.5713713354
43	0.5651289643
44	0.5590598168
45	0.5523479855
46	0.5472222028
47	0.5424139437
48	0.5384221243
49	0.5339260094
50	0.5289178379
51	0.5231403622
52	0.5193467081
53	0.5135032648
54	0.5083145499
55	0.5039190316
56	0.4988226922
57	0.4947252805
58	0.4910213183
59	0.4875814256
60	0.4828987037
61	0.480281204
62	0.4768830687
63	0.4733297597
64	0.4704099131
65	0.4672162642
66	0.4638792959
67	0.4603784423
68	0.4574851359
69	0.4550498101
70	0.4523670151
71	0.4490512827
72	0.4459717448
73	0.4424483801
74	0.4394778546
75	0.4366706322
76	0.4339766016
77	0.4311920601
78	0.4276376474
79	0.4243309051
80	0.4216411921
81	0.4183006792
82	0.4160824827
83	0.4140405241
84	0.4117426075
85	0.4092789964
86	0.4079567934
87	0.4062283929
88	0.403609411
89	0.4017892846
90	0.3997853072
91	0.3982056175
92	0.3963802702
93	0.3948435311
94	0.392742901
95	0.3900081216
96	0.3881780369
97	0.3863639091
98	0.3845550956
99	0.383083788
100	0.3811887669
101	0.3791910579
102	0.3769318394
103	0.3752516813
104	0.3742087098
105	0.3724290137
106	0.3706840537
107	0.3684215136
108	0.367123563
109	0.3656316472
110	0.3642414872
111	0.3626521195
112	0.3613651169
113	0.3591339657
114	0.3577620572
115	0.3562540455
116	0.3547168735
117	0.3529898094
118	0.3518216754
119	0.3500312373
120	0.348862857
121	0.3473039286
122	0.3463789193
123	0.345263697
124	0.3439919669
125	0.3429491624
126	0.3419151843
127	0.340750614
128	0.3390820354
129	0.3380679342
130	0.3370140162
131	0.3360988438
132	0.3353668172
133	0.3347690734
134	0.3338090156
135	0.3319411203
136	0.3310283552
137	0.3302627491
138	0.3284077473
139	0.3273600748
140	0.3263014742
141	0.3251243366
142	0.3242744541
143	0.3233693601
144	0.3226891473
145	0.3214565734
146	0.3206994755
147	0.3193413507
148	0.3185572153
149	0.3174338039
150	0.3163115838
151	0.3153307959
152	0.3146997973
153	0.3134904171
154	0.3127332822
155	0.3117027559
156	0.3109249912
157	0.3100538519
158	0.309112495
159	0.3081799432
160	0.3068045922
161	0.3062953091
162	0.3056068516
163	0.3047771205
164	0.3040112379
165	0.3032677619
166	0.3027668826
167	0.3015959282
168	0.3004765572
169	0.2998361811
170	0.2992203818
171	0.2988111941
172	0.2977226624
173	0.2973410606
174	0.2961391309
175	0.2952415583
176	0.2945090373
177	0.2932742289
178	0.2925088151
179	0.2915938604
180	0.2908830983
181	0.2901128235
182	0.2888561842
183	0.2879473764
184	0.287222537
185	0.2866993764
186	0.2857918634
187	0.2852036023
188	0.2843129894
189	0.2832637015
190	0.2822636405
191	0.2815562218
192	0.2804230949
193	0.2795154428
194	0.2787531234
195	0.2783406503
196	0.2776410228
197	0.2769967001
198	0.2761099007
199	0.2756169624
200	0.274655056
201	0.2739436773
202	0.2734903838
203	0.2729122876
204	0.2723585163
205	0.2712186566
206	0.2706993869
207	0.2696196576
208	0.2691324366
209	0.2686654233
210	0.2678297757
211	0.2673009015
212	0.2663276504
213	0.2656541005
214	0.2648835652
215	0.2643978326
216	0.2636480699
217	0.2627026415
218	0.2620010276
219	0.2612278427
220	0.2607648475
221	0.2602563097
222	0.2597635345
223	0.2592213519
224	0.2584908986
225	0.2577030748
226	0.2570489301
227	0.2566077545
228	0.2560331065
229	0.2554777096
230	0.2548595256
231	0.2542431635
232	0.2538422703
233	0.2532246175
234	0.252464379
235	0.2520228636
236	0.2515016983
237	0.2505489813
238	0.249799709
239	0.249120683
240	0.248770835
241	0.2480649226
242	0.2471531159
243	0.2466880113
244	0.2459123875
245	0.2454744724
246	0.2446969074
247	0.2441756008
248	0.2436872186
249	0.2431502195
250	0.2425388919
251	0.2421704373
252	0.2416389227
253	0.2411043102
254	0.2405836469
255	0.2397426751
256	0.2389583761
257	0.2385141793
258	0.2377531196
259	0.2373307257
260	0.2370182344
261	0.236490278
262	0.2359223326
263	0.2353500676
264	0.2350007774
265	0.2345046784
266	0.234213888
267	0.2336270018
268	0.2329649665
269	0.2326799232
270	0.2319410126
271	0.2314460082
272	0.2310625516
273	0.2305764952
274	0.2300887236
275	0.2296886193
276	0.2294626979
277	0.2286096411
278	0.2281970562
279	0.227797493
280	0.2275471546
281	0.2271146702
282	0.2265622855
283	0.225595546
284	0.2251289739
285	0.2246318709
286	0.2241172907
287	0.2234966865
288	0.2230836616
289	0.2227075438
290	0.222318001
291	0.2217955231
292	0.2214883343
293	0.2211682877
294	0.2206196895
295	0.2201993071
296	0.2196319015
297	0.2190105132
298	0.2186010754
299	0.2178603637
