iter	Passed	Remaining
0	6152	1839595
1	10562	1573880
2	14350	1420687
3	16760	1240255
4	19032	1122939
5	21216	1039632
6	23246	973040
7	25346	925131
8	27646	893891
9	29919	867665
10	32149	844663
11	34279	822714
12	36356	802648
13	38443	785345
14	40524	769964
15	42622	756549
16	44689	743940
17	46815	733449
18	48912	723397
19	50967	713547
20	52978	703857
21	55031	695400
22	57109	687798
23	59177	680537
24	61255	673809
25	63316	667259
26	65395	661217
27	67435	655085
28	69518	649634
29	71657	644913
30	73699	639521
31	75738	634309
32	78011	631180
33	80008	625946
34	82127	621821
35	84199	617465
36	86309	613499
37	88473	610002
38	90583	606214
39	92681	602428
40	94962	599883
41	97171	596911
42	99307	593534
43	101407	590007
44	103547	586769
45	105755	583954
46	107854	580579
47	109919	577077
48	111986	573646
49	114043	570219
50	116089	566790
51	118166	563564
52	120310	560694
53	122406	557631
54	124467	554447
55	126523	551279
56	128606	548268
57	130636	545070
58	132666	541907
59	134730	538922
60	136864	536240
61	138957	533418
62	141120	530883
63	143275	528326
64	145332	525434
65	147411	522641
66	149512	519945
67	151613	517270
68	153669	514458
69	155677	511512
70	157728	508729
71	159763	505917
72	161804	503144
73	163870	500468
74	165971	497913
75	168038	495270
76	170119	492684
77	172183	490060
78	174229	487400
79	176268	484739
80	178323	482133
81	180390	479574
82	182433	476963
83	184468	474348
84	186535	471824
85	188640	469408
86	190688	466857
87	192686	464200
88	194721	461643
89	196770	459131
90	198902	456820
91	201026	454495
92	203088	452035
93	205127	449533
94	207257	447240
95	209639	445484
96	211843	443342
97	214035	441176
98	216205	438962
99	218230	436460
100	220243	433945
101	222405	431728
102	224447	429283
103	226574	427005
104	228622	424584
105	230684	422196
106	232844	419990
107	234933	417659
108	236968	415238
109	238970	412768
110	240979	410317
111	242978	407857
112	244966	405387
113	247032	403052
114	249035	400622
115	251044	398208
116	253094	395865
117	255099	393458
118	257102	391055
119	259141	388712
120	261101	386258
121	263090	383853
122	265084	381462
123	267090	379095
124	269083	376716
125	271086	374357
126	273061	371965
127	275086	369647
128	277146	367380
129	279140	365029
130	281120	362667
131	283148	360371
132	285254	358176
133	287349	355970
134	289530	353871
135	291720	351780
136	293771	349523
137	295848	347300
138	297947	345104
139	299995	342851
140	302168	340743
141	304462	338768
142	306564	336577
143	308589	334304
144	310580	331999
145	312563	329690
146	314617	327458
147	316619	325176
148	318627	322904
149	320617	320617
150	322613	318340
151	324629	316086
152	326583	313776
153	328559	311491
154	330547	309222
155	332537	306957
156	334514	304685
157	336479	302405
158	338565	300237
159	340766	298170
160	342965	296101
161	345028	293912
162	347146	291773
163	349379	289729
164	351546	287628
165	353609	285443
166	355734	283309
167	357851	281169
168	360005	279057
169	362180	276961
170	364390	274890
171	366558	272787
172	368735	270690
173	370962	268628
174	373082	266487
175	375215	264356
176	377447	262294
177	379632	260197
178	381728	258039
179	383849	255899
180	386032	253800
181	388234	251712
182	390559	249702
183	392790	247628
184	394968	245520
185	397149	243413
186	399426	241364
187	401560	239227
188	403680	237082
189	405803	234938
190	407826	232738
191	409831	230529
192	411842	228327
193	413861	226130
194	415851	223920
195	417833	221707
196	419828	219504
197	421781	217281
198	423778	215083
199	425762	212881
200	427783	210699
201	429752	208493
202	431741	206300
203	433746	204115
204	435799	201956
205	437786	199766
206	439752	197570
207	441746	195387
208	443734	193204
209	445726	191025
210	447709	188844
211	449685	186661
212	451685	184491
213	453688	182323
214	456503	180478
215	459204	178579
216	461734	176607
217	464122	174578
218	466469	172529
219	468853	170492
220	471217	168444
221	473587	166395
222	475934	164336
223	478331	162291
224	480660	160220
225	483283	158243
226	485718	156200
227	488220	154174
228	490566	152096
229	492797	149981
230	495092	147884
231	497447	145803
232	500020	143782
233	502356	141690
234	504726	139605
235	507249	137559
236	509460	135426
237	511988	133375
238	514294	131263
239	516689	129172
240	519098	127082
241	521421	124968
242	523770	122859
243	526278	120785
244	528691	118685
245	531031	116567
246	533372	114448
247	535685	112321
248	538112	110215
249	540678	108135
250	543175	106038
251	545646	103932
252	547924	101788
253	550313	99663
254	552615	97520
255	555017	95393
256	557332	93250
257	559629	91102
258	561994	88964
259	564311	86817
260	566586	84662
261	568957	82520
262	571451	80394
263	573857	78253
264	576154	76095
265	578450	73937
266	580926	71799
267	583451	69665
268	585833	67512
269	588292	65365
270	590767	63218
271	593334	61078
272	596027	58947
273	598478	56789
274	600803	54618
275	603161	52448
276	605564	50281
277	607963	48112
278	610548	45955
279	613257	43804
280	615643	41627
281	618057	39450
282	620373	37266
283	622776	35086
284	625068	32898
285	627498	30716
286	629860	28530
287	632449	26352
288	634863	24164
289	637174	21971
290	639747	19785
291	642326	17597
292	644670	15401
293	647138	13206
294	649443	11007
295	651789	8807
296	654252	6608
297	656715	4407
298	658966	2203
299	661266	0
